sym,date,amt,portfolio,surcharge,reference,memo
PSI,2021-12-06,7.044725,TERRA,$0.06,79458EEC9384F4A0AB79821FAD30473CEC98696A6045468F32278A9912B3322E,bLUNA + bETH stake claim
ANC,2021-12-06,3.548179,TERRA,$0.25,8D6F2A09955D04442187CAB64F5670F2D57BF09706C767951481707623B81CBB,ANC loan yield
PSI,2021-12-06,103.998921,TERRA,$0.03,C9539EA7A68B6DF2558CEAEE2B721BD2386C85F7A96167EE72E5D7AFA19436FB,ANC airdrop
TFLOKI,2021-12-06,10.336848,TERRA,$0.40,86C5D017D7B399FF766007409CBAD683B96BF52A4EEF29AE3E346626C85F9F12,TFLOKI LP
VKR,2021-12-06,27.972655,TERRA,$0.23,8D8185DEC0FC254CB68C332305FB79E4B79743CBAE979F3B38AD778A5652A722,VKR LP claim
KUJI,2021-12-06,2.825746,TERRA,$0.04,F790DA9BDAF81C04BFF42BE68A89677628C263A60B3E14C490AE7055C707ACF5,KUJIRA LP claim
TRANQ,2021-12-06,7.2636345,HARMONY,$0.00,0x0ffdfaa0ac02eb929339ed8d5df5fc8f29a4b2643038b9190610de70bf80159e,TRANQ markets
TRANQ,2021-12-06,2.24663276,HARMONY,$0.00,0x375ed28911b17f5f44d9c40d58ea003c1ac1bf648b73135defa0c852be74dec3,TRANQ markets
TRANQ,2021-12-06,21.74462606,HARMONY,$0.00,0x62f778a1bab10a7ccf55dd9e39e46b1accc440a7e797c36f455efdd31b49a866,TRANQ fee stake
USDC,2021-12-06,0.847212,HARMONY,$0.00,0x62f778a1bab10a7ccf55dd9e39e46b1accc440a7e797c36f455efdd31b49a866,TRANQ fee stake
ETH,2021-12-06,0.000079316,HARMONY,$0.00,0x62f778a1bab10a7ccf55dd9e39e46b1accc440a7e797c36f455efdd31b49a866,TRANQ fee stake
BTC,2021-12-06,0.00000795,HARMONY,$0.00,0x62f778a1bab10a7ccf55dd9e39e46b1accc440a7e797c36f455efdd31b49a866,TRANQ fee stake
USDT,2021-12-06,0.456327,HARMONY,$0.00,0x62f778a1bab10a7ccf55dd9e39e46b1accc440a7e797c36f455efdd31b49a866,TRANQ fee stake
MIS,2021-12-06,14.726,HARMONY,$0.00,0x5aa559b542f9435117e35ae5b6d80530ce498b7f1a98f4525e8ffba712f7328d,MIS LP claim
JEWEL,2021-12-06,1.54,HARMONY,$0.00,0x59f587c85fe33ed00a8a4568cfd4b6951a4811122b83a8c76628f808ad0d351d,JEWEL harvest
