tracked_type,cmc_id,symbol,name
BINANCE,7278,AAVE,Aave
BINANCE,2010,ADA,Cardano
BINANCE,4030,ALGO,Algorand
BINANCE,3794,ATOM,Cosmos
BINANCE,4679,BAND,Band Protocol
BINANCE,1697,BAT,Basic Attention Token
BINANCE,1831,BCH,Bitcoin Cash
BINANCE,1839,BNB,Binance Coin
BINANCE,1,BTC,Bitcoin
BINANCE,4687,BUSD,Binance USD
BINANCE,5692,COMP,Compound
BINANCE,4943,DAI,Dai
BINANCE,74,DOGE,Dogecoin
BINANCE,6892,EGLD,Elrond
BINANCE,2130,ENJ,Enjin Coin
BINANCE,1765,EOS,EOS
BINANCE,1027,ETH,Ethereum
BINANCE,6719,GRT,The Graph
BINANCE,4642,HBAR,Hedera Hashgraph
BINANCE,5665,HNT,Helium
BINANCE,2099,ICX,ICON
BINANCE,1982,KNC,Kyber Network
BINANCE,1975,LINK,Chainlink
BINANCE,2,LTC,Litecoin
BINANCE,1966,MANA,Decentraland
BINANCE,3890,MATIC,Polygon
BINANCE,1720,MIOTA,IOTA
BINANCE,1518,MKR,Maker
BINANCE,1567,NANO,Nano
BINANCE,1376,NEO,Neo
BINANCE,1808,OMG,OMG Network
BINANCE,3945,ONE,Harmony
BINANCE,2566,ONT,Ontology
BINANCE,5026,OXT,Orchid
BINANCE,4705,PAXG,PAX Gold
BINANCE,1684,QTUM,Qtum
BINANCE,1104,REP,Augur
BINANCE,2577,RVN,Ravencoin
BINANCE,5426,SOL,Solana
BINANCE,1772,STORJ,Storj
BINANCE,7083,UNI,Uniswap
BINANCE,825,USDT,Tether
BINANCE,3077,VET,VeChain
BINANCE,3012,VTHO,VeThor Token
BINANCE,1274,WAVES,Waves
BINANCE,512,XLM,Stellar
BINANCE,6758,SUSHI,SushiSwap
BINANCE,2011,XTZ,Tezos
BINANCE,2469,ZIL,Zilliqa
BINANCE,1896,ZRX,0x
