prediction_id,guess,actual
15464,21.81%,
15463,-57.63%,u
15462,-13.26%,d
15461,74.53%,d
15460,49.07%,u
15459,-2.14%,u
15458,96.28%,d
15457,92.57%,u
15456,85.15%,u
15455,70.31%,u
15454,40.63%,u
15453,-19.26%,u
15452,62.53%,d
15451,25.06%,u
15450,-50.12%,u
15449,0.24%,d
15448,-100.49%,u
15447,-100.99%,d
15446,-99.99%,d
15445,-97.98%,d
15444,-93.97%,d
15443,-85.94%,d
15442,-69.88%,d
15441,-37.77%,d
15440,27.54%,d
15439,-45.09%,u
15438,10.19%,d
15437,-80.38%,u
15436,-60.76%,d
15435,-19.54%,d
15434,63.06%,d
15433,26.13%,u
15432,-48.26%,u
15431,4.53%,d
15430,-82.12%,u
15429,-64.25%,d
15428,-28.50%,d
15427,45.02%,d
15426,-0.11%,d
15425,u
15424,d
15423,u
15422,u
15421,u
15420,d
15419,d
15418,u
15417,u
15416,d
